Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
ESC_AC4725AA_AS	KL55	K55	Good	?-	96.21%	95.76%	n/a	19 / 20 (95%)	KL55_01_galF,98.328%;KL55_03_wzi,97.28%;KL55_04_wza,98.421%;KL55_05_wzb,97.931%;KL55_06_wzc,98.061%;KL55_07_wcaA,98.366%;KL55_08_wcaJ,98.495%;KL55_09_wcpH,97.75%;KL55_10_wcpI,97.333%;KL55_11_wzy,96.948%;KL55_12_wcpJ,97.051%;KL55_13_wzx,97.143%;KL55_14,96.714%;KL55_15_gnd,98.721%;KL55_16_rmlB,96.901%;KL55_17_rmlA,97.569%;KL55_18_rmlD,97.643%;KL55_19_rmlC,95.676%;KL55_20_ugd,98.972%	KL55_02_cpsACP	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_AC4758AA_AS	KL14	K14	Good	?-*	99.12%	90.71%	n/a	24 / 25 (96%)	KL14_01_galF,98.997%;KL14_02_cpsACP,98.095%;KL14_03_wzi,97.03%;KL14_04_wza,98.945%;KL14_05_wzb,96.552%;KL14_06_wzc,97.241%;KL14_07,89.655%;KL14_08_wzx,90.57%;KL14_09,89.347%;KL14_10,84.756%;KL14_11,92.04%;KL14_12,90.654%;KL14_14,90.809%;KL14_15,94.278%;KL14_16,88.047%;KL14_17_wcaJ,95.494%;KL14_18_gnd,99.787%;KL14_19_manC,99.153%;KL14_20_manB,98.929%;KL14_21_rmlB,99.437%;KL14_22_rmlA,97.917%;KL14_23_rmlD,98.99%;KL14_24_rmlC,97.297%;KL14_25_ugd,99.229%	KL14_13	0		0 / 25 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_AC5142AA_AS	KL48	K48	High	-	100.00%	98.85%	+1 bp	20 / 21 (95.2%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%	KL48_08_wcaJ	0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_AC5146AA_AS	KL48	K48	Very high		100.00%	98.86%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,99.787%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_AC5148AA_AS	KL48	K48	Very high		100.00%	98.86%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,99.787%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_AC5542AA_AS	KL124	unknown (KL124)	Good	-	98.82%	97.21%	+400 bp	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_AC5544AA_AS	KL124	unknown (KL124)	Good	-	98.82%	97.21%	+400 bp	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		1	KL131_09_rmlB,80.226%
ESC_AC5548AA_AS	KL124	unknown (KL124)	Good	-	98.82%	97.21%	+400 bp	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_AC5551AA_AS	KL124	unknown (KL124)	Good	-	98.82%	97.21%	+400 bp	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_AC5552AA_AS	KL124	unknown (KL124)	Good	-	98.82%	97.21%	+400 bp	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_AC5654AA_AS	KL35	K35	None	?-*	76.67%	95.75%	n/a	15 / 20 (75%)	KL35_01_galF,98.997%;KL35_02_cpsACP,91.346%;KL35_03_wzi,97.28%;KL35_04_wza,98.677%;KL35_05_wzb,98.621%;KL35_06_wzc,98.75%;KL35_12_wzx,96.477%;KL35_13_wckK,98.471%;KL35_14_wbaZ,97.143%;KL35_15_wcaJ,98.498%;KL35_16_wclK,95.48%;KL35_17_gnd,99.787%;KL35_18_manC,97.881%;KL35_19_manB,99.781%;KL35_20_ugd,99.229%	KL35_07_wzy;KL35_08_wcuC;KL35_09_wckM;KL35_10_wckL;KL35_11_wcuQ	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_AC5891AA_AS	KL124	unknown (KL124)	Good	?-	98.73%	97.20%	n/a	19 / 22 (86.4%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_15_wzx;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_AC5893AA_AS	KL124	unknown (KL124)	None	?-	90.56%	97.09%	n/a	16 / 22 (72.7%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_10_wclJ,97.491%;KL124_12,98.309%;KL124_14_wcaL,99.022%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_09_wcuP;KL124_11_wzy;KL124_13_wcuA;KL124_15_wzx;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_AC6613AA_AS	KL20	K20	None	-	77.52%	98.90%	-1309 bp	14 / 18 (77.8%)	KL20_01_galF,99.331%;KL20_03_wzi,99.408%;KL20_04_wza,99.211%;KL20_05_wzb,100.0%;KL20_06_wzc,98.757%;KL20_07_wbaP,99.581%;KL20_08_wzy,99.757%;KL20_09,99.422%;KL20_10_wcaN,99.306%;KL20_11_wcaO,98.413%;KL20_12,99.52%;KL20_13_wbaZ,99.407%;KL20_14_wzx,99.286%;KL20_15_gnd,99.574%	KL20_02_cpsACP;KL20_16_manC;KL20_17_manB;KL20_18_ugd	0		0 / 18 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_AC9532AA_AS	KL48	K48	Very high		100.00%	98.86%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,98.773%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_BA1564AA_AS	KL30	K30	Good	?*	98.41%	95.87%	n/a	20 / 20 (100%)	KL30_01_galF,99.331%;KL30_02_cpsACP,92.381%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.309%;KL30_07_wcuL,99.369%;KL30_08_wzx,99.743%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.237%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%		0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_BA1845AA_AS	KL123	unknown (KL123)	High	*	99.36%	94.97%	+56 bp	16 / 16 (100%)	KL123_01_galF,98.328%;KL123_02_cpsACP,89.524%;KL123_03_wzi,97.699%;KL123_04_wza,99.202%;KL123_05_wzb,98.621%;KL123_06_wzc,98.336%;KL123_07_wckV,95.13%;KL123_08_wcoX,91.401%;KL123_09_wzy,98.276%;KL123_10_wcuF,95.393%;KL123_11_wckY,97.778%;KL123_12_wzx,98.807%;KL123_13,95.245%;KL123_14_wcaJ,99.147%;KL123_15_gnd,98.294%;KL123_16_ugd,99.229%		0		0 / 16 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_BA4333AA_AS	KL47	K47	Good	?-	98.64%	96.05%	n/a	18 / 19 (94.7%)	KL47_01_galF,98.328%;KL47_03_wzi,97.49%;KL47_04_wza,99.472%;KL47_05_wzb,97.26%;KL47_06_wzc,98.755%;KL47_07_wcaJ,98.95%;KL47_08_wcaA,99.342%;KL47_09,96.99%;KL47_10_wcqC,97.276%;KL47_11_wzy,98.321%;KL47_12_wcuT,97.887%;KL47_13_wzx,98.952%;KL47_14_gnd,99.574%;KL47_15_rmlB,99.155%;KL47_16_rmlA,98.264%;KL47_17_rmlD,98.653%;KL47_18_rmlC,98.919%;KL47_19_ugd,99.743%	KL47_02_cpsACP	0		0 / 19 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_BB0592AA_AS	KL48	K48	Very high		100.00%	98.86%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,99.787%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_BB0595AA_AS	KL103	unknown (KL103)	Good	?	100.00%	98.73%	n/a	21 / 21 (100%)	KL103_01_galF,99.331%;KL103_02_cpsACP,98.095%;KL103_03_wzi,98.954%;KL103_04_wza,99.737%;KL103_05_wzb,100.0%;KL103_06_wzc,99.722%;KL103_07_wbaP,99.791%;KL103_08_wcaA,99.342%;KL103_09,100.0%;KL103_10,99.788%;KL103_11_wcaN,100.0%;KL103_12_wzy,100.0%;KL103_13_wcpL,99.2%;KL103_14_wcuT,98.917%;KL103_15_wzx,100.0%;KL103_16_gnd,99.36%;KL103_17_rmlB,100.0%;KL103_18_rmlA,99.655%;KL103_19_rmlD,99.663%;KL103_20_rmlC,100.0%;KL103_21_ugd,100.0%		0		0 / 21 (0%)		2	KL36_09_rmlB,80.057%;KL156-D1_01_galF,93.624%
ESC_BB2706AA_AS	KL9	K9	Good	?-	95.88%	97.00%	n/a	18 / 19 (94.7%)	KL9_01_galF,98.662%;KL9_03_wzi,98.614%;KL9_04_wza,98.681%;KL9_05_wzb,99.31%;KL9_06_wzc,99.446%;KL9_07_wbaP,98.739%;KL9_08,98.68%;KL9_09,98.722%;KL9_10,98.465%;KL9_11,98.621%;KL9_12,98.618%;KL9_13_wzx,99.287%;KL9_14_gnd,99.574%;KL9_15_rmlB,98.873%;KL9_16_rmlA,97.917%;KL9_17_rmlD,99.327%;KL9_18_rmlC,97.838%;KL9_19_ugd,100.0%	KL9_02_cpsACP	0		0 / 19 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_BB9302AA_AS	KL135	unknown (KL135)	None	?-*	53.50%	85.26%	n/a	10 / 22 (45.5%)	KL135_01_galF,99.331%;KL135_02_cpsACP,94.762%;KL135_15_gnd,97.868%;KL135_16_manC,92.797%;KL135_17_manB,92.747%;KL135_18_rmlB,95.775%;KL135_19_rmlA,97.917%;KL135_20_rmlD,99.327%;KL135_21_rmlC,97.838%;KL135_22_ugd,99.743%	KL135_03_wzi;KL135_04_wza;KL135_05_wzb;KL135_06_wzc;KL135_07_wbaP;KL135_08_wcaA;KL135_09;KL135_10_wcuD;KL135_11;KL135_12_wcuT;KL135_13_wzy;KL135_14_wzx	0		0 / 22 (0%)		2	KL137_16_wcuC,100.0%;KL156-D1_01_galF,93.624%
ESC_BC0734AA_AS	KL101	unknown (KL101)	Good	-	98.73%	95.66%	+425 bp	20 / 21 (95.2%)	KL101_01_galF,98.662%;KL101_03_wzi,96.234%;KL101_04_wza,99.472%;KL101_05_wzb,100.0%;KL101_06_wzc,98.752%;KL101_07_wbaP,98.529%;KL101_08_wcaA,98.684%;KL101_09_wcuP,96.454%;KL101_10_wcuR,97.792%;KL101_11,96.675%;KL101_12_wzy,98.721%;KL101_13_wcqP,95.439%;KL101_14_wzx,98.633%;KL101_15_wcuN,98.196%;KL101_16_gnd,99.147%;KL101_17_rmlB,97.746%;KL101_18_rmlA,99.31%;KL101_19_rmlD,98.653%;KL101_20_rmlC,98.919%;KL101_21_ugd,99.743%	KL101_02_cpsACP	0		0 / 21 (0%)		2	KL36_09_rmlB,80.057%;KL156-D1_01_galF,93.624%
ESC_BC5190AA_AS	KL14	K14	Good	?-*	99.12%	90.71%	n/a	24 / 25 (96%)	KL14_01_galF,98.997%;KL14_02_cpsACP,98.095%;KL14_03_wzi,97.03%;KL14_04_wza,98.945%;KL14_05_wzb,96.552%;KL14_06_wzc,97.241%;KL14_07,89.655%;KL14_08_wzx,90.57%;KL14_09,89.347%;KL14_10,84.756%;KL14_11,92.04%;KL14_12,90.654%;KL14_14,90.809%;KL14_15,94.005%;KL14_16,88.047%;KL14_17_wcaJ,95.494%;KL14_18_gnd,99.787%;KL14_19_manC,99.153%;KL14_20_manB,98.929%;KL14_21_rmlB,99.437%;KL14_22_rmlA,97.917%;KL14_23_rmlD,98.99%;KL14_24_rmlC,97.297%;KL14_25_ugd,99.229%	KL14_13	0		0 / 25 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_BC5485AA_AS	KL124	unknown (KL124)	Good	-	98.82%	97.21%	+400 bp	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_BC6418AA_AS	KL124	unknown (KL124)	Good	?-	98.82%	97.20%	n/a	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.737%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_BC7035AA_AS	KL103	unknown (KL103)	Very high		100.00%	98.73%	+1 bp	21 / 21 (100%)	KL103_01_galF,99.331%;KL103_02_cpsACP,98.095%;KL103_03_wzi,98.954%;KL103_04_wza,99.737%;KL103_05_wzb,100.0%;KL103_06_wzc,99.722%;KL103_07_wbaP,99.791%;KL103_08_wcaA,99.342%;KL103_09,100.0%;KL103_10,99.788%;KL103_11_wcaN,100.0%;KL103_12_wzy,100.0%;KL103_13_wcpL,99.2%;KL103_14_wcuT,98.917%;KL103_15_wzx,100.0%;KL103_16_gnd,99.36%;KL103_17_rmlB,100.0%;KL103_18_rmlA,99.655%;KL103_19_rmlD,99.663%;KL103_20_rmlC,100.0%;KL103_21_ugd,100.0%		0		0 / 21 (0%)		2	KL36_09_rmlB,80.057%;KL156-D1_01_galF,93.624%
ESC_BC7127AA_AS	KL124	unknown (KL124)	None	?-	94.35%	97.17%	n/a	13 / 22 (59.1%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_08_wctK,99.342%;KL124_14_wcaL,98.928%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_07_wbaP;KL124_09_wcuP;KL124_10_wclJ;KL124_11_wzy;KL124_12;KL124_13_wcuA;KL124_15_wzx;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_BC7200AA_AS	KL101	unknown (KL101)	Good	-	98.73%	95.66%	+425 bp	20 / 21 (95.2%)	KL101_01_galF,98.662%;KL101_03_wzi,96.234%;KL101_04_wza,99.472%;KL101_05_wzb,100.0%;KL101_06_wzc,98.752%;KL101_07_wbaP,98.529%;KL101_08_wcaA,98.684%;KL101_09_wcuP,96.454%;KL101_10_wcuR,97.792%;KL101_11,96.675%;KL101_12_wzy,98.721%;KL101_13_wcqP,95.439%;KL101_14_wzx,98.633%;KL101_15_wcuN,98.196%;KL101_16_gnd,99.147%;KL101_17_rmlB,97.746%;KL101_18_rmlA,99.31%;KL101_19_rmlD,98.653%;KL101_20_rmlC,98.919%;KL101_21_ugd,99.743%	KL101_02_cpsACP	0		0 / 21 (0%)		2	KL36_09_rmlB,80.057%;KL156-D1_01_galF,93.624%
ESC_BC7503AA_AS	KL107	unknown (KL107)	None	?-+*	85.67%	85.17%	n/a	10 / 16 (62.5%)	KL107_01_galF,98.662%;KL107_02_cpsACP,93.333%;KL107_03_wzi,97.699%;KL107_04_wza,94.933%;KL107_11_gnd,98.721%;KL107_12,99.437%;KL107_13,97.931%;KL107_14,98.99%;KL107_15,99.459%;KL107_16_ugd,99.743%	KL107_05_wzb;KL107_06_wzc;KL107_07_wbaP;KL107_08;KL107_09;KL107_10	4	KL103_06_wzc,99.722%;KL103_07_wbaP,99.791%;KL103_08_wcaA,99.342%;KL103_05_wzb,100.0%	0 / 16 (0%)		5	KL103_10,99.787%;KL103_09,100.0%;KL103_11_wcaN,100.0%;KL36_09_rmlB,80.057%;KL156-D1_01_galF,93.624%
ESC_BC7627AA_AS	KL103	unknown (KL103)	None	?-	86.30%	98.55%	n/a	17 / 21 (81.0%)	KL103_01_galF,99.331%;KL103_02_cpsACP,98.095%;KL103_03_wzi,98.954%;KL103_04_wza,99.737%;KL103_05_wzb,100.0%;KL103_06_wzc,99.722%;KL103_07_wbaP,99.791%;KL103_08_wcaA,99.342%;KL103_09,100.0%;KL103_10,99.787%;KL103_15_wzx,99.791%;KL103_16_gnd,99.36%;KL103_17_rmlB,100.0%;KL103_18_rmlA,99.655%;KL103_19_rmlD,99.663%;KL103_20_rmlC,100.0%;KL103_21_ugd,100.0%	KL103_11_wcaN;KL103_12_wzy;KL103_13_wcpL;KL103_14_wcuT	0		0 / 21 (0%)		1	KL36_09_rmlB,80.057%
ESC_BC7742AA_AS	KL5	K5	Good	?*	100.00%	98.58%	n/a	19 / 19 (100%)	KL5_01_galF,98.328%;KL5_02_cpsACP,91.429%;KL5_03_wzi,99.604%;KL5_04_wza,99.735%;KL5_05_wzb,99.31%;KL5_06_wzc,99.308%;KL5_07,99.01%;KL5_08_wzx,99.376%;KL5_09,99.213%;KL5_10,99.649%;KL5_11,99.454%;KL5_12,99.394%;KL5_13,100.0%;KL5_14,100.0%;KL5_15_wcaJ,99.573%;KL5_16_gnd,100.0%;KL5_17_manC,98.093%;KL5_18_manB,98.906%;KL5_19_ugd,99.486%		0		0 / 19 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_BC8324AA_AS	KL39	K39	Good	?	99.54%	98.34%	n/a	20 / 20 (100%)	KL39_01_galF,100.0%;KL39_02_cpsACP,97.619%;KL39_03_wzi,98.536%;KL39_04_wza,99.472%;KL39_05_wzb,100.0%;KL39_06_wzc,99.167%;KL39_07,99.18%;KL39_08_wzy,99.752%;KL39_09_mshA,99.104%;KL39_10_epsH,99.301%;KL39_11_epsJ,98.802%;KL39_12_wzx,99.584%;KL39_13,98.827%;KL39_14,99.08%;KL39_15_wbaZ,99.221%;KL39_16_wcaJ,99.356%;KL39_17_gnd,99.574%;KL39_18_manC,95.975%;KL39_19_manB,98.249%;KL39_20_ugd,100.0%		0		0 / 20 (0%)		3	KL150_19_gmd,98.209%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
